"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
0,000219;1,8;0;1,8;10.950;-29,4268;-60;-29,4273
0,00022;1,8;0;1,8;11.000;-21,6585;-60;-21,6585
0,000221;1,8;0;1,8;11.050;-28,7207;-60;-28,7202
0,000222;1,788;0;1,788;11.100;-60;-60;-60
0,000223;1,76;0;1,76;11.150;-60;-60;-60
0,000224;1,76;0;1,76;11.200;-60;-60;-60
0,000225;1,76;0;1,76;11.250;-60;-60;-60
0,000226;1,76;0;1,76;11.300;-60;-60;-60
0,000227;1,76;0;1,76;11.350;-60;-60;-60
0,000228;1,76;0;1,76;11.400;-60;-60;-60
0,000229;1,76;0;1,76;11.450;-60;-35,9366;-35,938
0,00023;1,76;0;1,76;11.500;-60;-28,1522;-28,1521
0,000231;1,76;0;1,76;11.550;-60;-35,1983;-35,1959
0,000232;1,744;0;1,744;11.600;-60;-60;-60
0,000233;1,72;0;1,72;11.650;-60;-60;-60
0,000234;1,72;0;1,72;11.700;-60;-60;-60
0,000235;1,72;0;1,72;11.750;-60;-60;-60
0,000236;1,72;0;1,72;11.800;-60;-60;-60
0,000237;1,72;0;1,72;11.850;-60;-60;-60
0,000238;1,72;0;1,72;11.900;-60;-60;-60
0,000239;1,72;0;1,72;11.950;-30,2164;-60;-30,2168
0,00024;1,72;0;1,72;12.000;-22,4152;-60;-22,4151
0,000241;1,72;0;1,72;12.050;-29,4459;-60;-29,4454
0,000242;1,7;0;1,7;12.100;-60;-60;-60
0,000243;1,68;0;1,68;12.150;-60;-60;-60
0,000244;1,68;0;1,68;12.200;-60;-60;-60
0,000245;1,68;0;1,68;12.250;-60;-60;-60
0,000246;1,68;0;1,68;12.300;-60;-60;-60
0,000247;1,68;0;1,68;12.350;-60;-60;-60
0,000248;1,68;0;1,68;12.400;-60;-60;-60
0,000249;1,68;0;1,68;12.450;-60;-36,6945;-36,6959
0,00025;1,68;0;1,68;12.500;-60;-28,8774;-28,8774
0,000251;1,68;0;1,68;12.550;-60;-35,8919;-35,8892
0,000252;1,656;0;1,656;12.600;-60;-60;-60
0,000253;1,64;0;1,64;12.650;-60;-60;-60
0,000254;1,64;0;1,64;12.700;-60;-60;-60
0,000255;1,64;0;1,64;12.750;-60;-60;-60
0,000256;1,64;0;1,64;12.800;-60;-60;-60
0,000257;1,64;0;1,64;12.850;-60;-60;-60
0,000258;1,64;0;1,64;12.900;-60;-60;-60
0,000259;1,64;0;1,64;12.950;-30,9452;-60;-30,9457
0,00026;1,64;0;1,64;13.000;-23,1115;-60;-23,1114
0,000261;1,64;0;1,64;13.050;-30,1105;-60;-30,11
0,000262;1,612;0;1,612;13.100;-60;-60;-60
0,000263;1,6;0;1,6;13.150;-60;-60;-60
0,000264;1,6;0;1,6;13.200;-60;-60;-60
0,000265;1,6;0;1,6;13.250;-60;-60;-60
0,000266;1,6;0;1,6;13.300;-60;-60;-60
0,000267;1,6;0;1,6;13.350;-60;-60;-60
0,000268;1,6;0;1,6;13.400;-60;-60;-60
0,000269;1,6;0;1,6;13.450;-60;-37,3966;-37,3987
0,00027;1,6;0;1,6;13.500;-60;-29,5469;-29,5467
0,000271;1,6;0;1,6;13.550;-60;-36,5299;-36,5274
0,000272;1,568;0;1,568;13.600;-60;-60;-60
0,000273;1,56;0;1,56;13.650;-60;-60;-60
0,000274;1,56;0;1,56;13.700;-60;-60;-60
0,000275;1,56;0;1,56;13.750;-60;-60;-60
0,000276;1,56;0;1,56;13.800;-60;-60;-60
0,000277;1,56;0;1,56;13.850;-60;-60;-60
0,000278;1,56;0;1,56;13.900;-60;-60;-60
0,000279;1,56;0;1,56;13.950;-31,6223;-60;-31,6229
0,00028;1,56;0;1,56;14.000;-23,7564;-60;-23,7563
0,000281;1,56;0;1,56;14.050;-30,7234;-60;-30,7229
0,000282;1,524;0;1,524;14.100;-60;-60;-60
0,000283;1,52;0;1,52;14.150;-60;-60;-60
0,000284;1,52;0;1,52;14.200;-60;-60;-60
0,000285;1,52;0;1,52;14.250;-60;-60;-60
0,000286;1,52;0;1,52;14.300;-60;-60;-60
0,000287;1,52;0;1,52;14.350;-60;-60;-60
0,000288;1,52;0;1,52;14.400;-60;-60;-60
0,000289;1,52;0;1,52;14.450;-60;-38,0512;-38,054
0,00029;1,52;0;1,52;14.500;-60;-30,1688;-30,1682
0,000291;1,52;0;1,52;14.550;-60;-37,1201;-37,1181
0,000292;1,48;0;1,48;14.600;-60;-60;-60
0,000293;1,48;0;1,48;14.650;-60;-60;-60
0,000294;1,48;0;1,48;14.700;-60;-60;-60
0,000295;1,48;0;1,48;14.750;-60;-60;-60
0,000296;1,48;0;1,48;14.800;-60;-60;-60
0,000297;1,48;0;1,48;14.850;-60;-60;-60
0,000298;1,48;0;1,48;14.900;-60;-60;-60
0,000299;1,48;0;1,48;14.950;-32,2553;-60;-32,2559
0,0003;1,48;0;1,48;15.000;-24,357;-60;-24,3569
0,000301;1,476;0;1,476;15.050;-31,2921;-60;-31,2915
0,000302;1,44;0;1,44;15.100;-60;-60;-60
0,000303;1,44;0;1,44;15.150;-60;-60;-60
0,000304;1,44;0;1,44;15.200;-60;-60;-60
0,000305;1,44;0;1,44;15.250;-60;-60;-60
0,000306;1,44;0;1,44;15.300;-60;-60;-60
0,000307;1,44;0;1,44;15.350;-60;-60;-60
0,000308;1,44;0;1,44;15.400;-60;-60;-60
0,000309;1,44;0;1,44;15.450;-60;-38,6644;-38,6676
0,00031;1,44;0;1,44;15.500;-60;-30,7493;-30,7486
0,000311;1,432;0;1,432;15.550;-60;-37,6691;-37,667
0,000312;1,4;0;1,4;15.600;-60;-60;-60
0,000313;1,4;0;1,4;15.650;-60;-60;-60
